id,runDuration
56692026,109.92
56692027,20
56692028,500
56692029,26.1
56692030,20
56692031,20
56692033,68.9
56692034,20
56692036,51.2
56692037,24.89
56692038,26.88
56692039,20
56692041,43.92
56692042,20
56692044,21.13
56692046,20
56692047,20
56692048,23.06
56692049,31.23
56692050,20
56692051,41.86
56692053,20
56692055,500
56692056,21.84
56692057,20
56692058,23.63
56692060,20.83
56692061,73.79
56692062,20
56692063,43.55
56692064,25.73
56692065,20
56692066,20
56692067,20
56692068,246.37
56692069,35.58
56692070,20
56692071,81.16
56692072,33.98
56692074,223.47
56692075,147.84
56692076,141.27
56692077,44.56
56692078,200.02
56692079,74.16
56692080,46.89
56692081,61.8
56692082,20
56692083,100.3
56692084,128.96
56692085,132.44
56692086,24.31
56692087,27.34
56692088,22.11
56692089,62.58
